
2021-04-22 18:06:09.220455+1000 pdftracer[84360:11522298] <PDFScrollView: 0x100c54f50> (4) [{{0, 0}, {751, 843}}]
2021-04-22 18:06:09.220517+1000 pdftracer[84360:11522298] <PDFClipView: 0x100cb5e30> (1) [{{0, 0}, {736, 828}}]
2021-04-22 18:06:09.220572+1000 pdftracer[84360:11522298] <PDFDocumentView: 0x100c76460> (2) [{{0, 0}, {313, 440}}]
2021-04-22 18:06:09.220615+1000 pdftracer[84360:11522298] <PDFDocumentContentView: 0x100c49310> (0) [{{0, 0}, {0, 0}}]
2021-04-22 18:06:09.220656+1000 pdftracer[84360:11522298] <PDFPageView: 0x100c4ee50> (0) [{{8, 9.5}, {297, 421}}]
2021-04-22 18:06:09.220679+1000 pdftracer[84360:11522298] <NSScroller: 0x100cb6d00> (0) [{{736, 0}, {15, 828}}]
2021-04-22 18:06:09.220699+1000 pdftracer[84360:11522298] <NSScroller: 0x108cb7360> (0) [{{0, 828}, {736, 15}}]
2021-04-22 18:06:09.220735+1000 pdftracer[84360:11522298] <NSView: 0x100c7e870> (0) [{{736, 828}, {15, 15}}]


2021-04-22 18:06:57.008614+1000 pdftracer[84360:11522298] <PDFScrollView: 0x100c54f50> (4) [{{0, 0}, {751, 843}}]
2021-04-22 18:06:57.008665+1000 pdftracer[84360:11522298] <PDFClipView: 0x100cb5e30> (1) [{{0, 0}, {736, 828}}]
2021-04-22 18:06:57.008688+1000 pdftracer[84360:11522298] <PDFDocumentView: 0x108c363a0> (2) [{{0, 0}, {313, 440}}]
2021-04-22 18:06:57.008709+1000 pdftracer[84360:11522298] <PDFDocumentContentView: 0x108cc36a0> (0) [{{0, 0}, {0, 0}}]
2021-04-22 18:06:57.008729+1000 pdftracer[84360:11522298] <PDFPageView: 0x108cba9f0> (0) [{{8, 9.5}, {297, 421}}]
2021-04-22 18:06:57.008749+1000 pdftracer[84360:11522298] <NSScroller: 0x100cb6d00> (0) [{{736, 0}, {15, 828}}]
2021-04-22 18:06:57.008767+1000 pdftracer[84360:11522298] <NSScroller: 0x108cb7360> (0) [{{0, 828}, {736, 15}}]
2021-04-22 18:06:57.008810+1000 pdftracer[84360:11522298] <NSView: 0x100d53120> (0) [{{736, 828}, {15, 15}}]




2021-04-22 22:41:50.833421+1000 pdftracer[87250:11685443] <PDFScrollView: 0x111629510> (4) [{{0, 0}, {751, 843}}]
2021-04-22 22:41:50.833516+1000 pdftracer[87250:11685443] <PDFClipView: 0x11162a8e0> (1) [{{93.951296775883691, -5.881324349592874e-12}, {218.82327350331889, 246.1761826912356}}]
2021-04-22 22:41:50.833585+1000 pdftracer[87250:11685443] <PDFDocumentView: 0x1096f9920> (2) [{{93.951296775883691, 0}, {218.82327350331889, 246.17618269122971}}]
2021-04-22 22:41:50.833665+1000 pdftracer[87250:11685443] <PDFDocumentContentView: 0x1096fac80> (0) [{{0, 0}, {0, 0}}]
2021-04-22 22:41:50.833725+1000 pdftracer[87250:11685443] <PDFPageView: 0x111626620> (0) [{{85.951296775883691, 0}, {211.04870322411631, 236.67618269122971}}]
2021-04-22 22:41:50.833768+1000 pdftracer[87250:11685443] <NSScroller: 0x11162b7b0> (0) [{{0, 0}, {15, 828}}]
2021-04-22 22:41:50.833785+1000 pdftracer[87250:11685443] <NSScroller: 0x1096fbbc0> (0) [{{0, 0}, {736, 15}}]
2021-04-22 22:41:50.833816+1000 pdftracer[87250:11685443] <NSView: 0x111d14840> (0) [{{0, 0}, {15, 15}}]


2021-04-22 22:43:05.593513+1000 pdftracer[87250:11685443] <PDFScrollView: 0x111629510> (4) [{{0, 0}, {751, 843}}]
2021-04-22 22:43:05.593578+1000 pdftracer[87250:11685443] <PDFClipView: 0x11162a8e0> (1) [{{1.6890601119264779e-14, 193.99753527300419}, {218.82327350333529, 246.17618269123011}}]
2021-04-22 22:43:05.593609+1000 pdftracer[87250:11685443] <PDFDocumentView: 0x111685dd0> (2) [{{1.6890601119264779e-14, 193.99753527300419}, {218.82327350333529, 246.00246472699581}}]
2021-04-22 22:43:05.593641+1000 pdftracer[87250:11685443] <PDFDocumentContentView: 0x111684840> (0) [{{0, 0}, {0, 0}}]
2021-04-22 22:43:05.593671+1000 pdftracer[87250:11685443] <PDFPageView: 0x111687a80> (0) [{{0, 184.49753527300419}, {210.82327350333532, 236.50246472699581}}]
2021-04-22 22:43:05.593695+1000 pdftracer[87250:11685443] <NSScroller: 0x11162b7b0> (0) [{{0, 0}, {15, 828}}]
2021-04-22 22:43:05.593716+1000 pdftracer[87250:11685443] <NSScroller: 0x1096fbbc0> (0) [{{0, 0}, {736, 15}}]
2021-04-22 22:43:05.593737+1000 pdftracer[87250:11685443] <NSView: 0x111685000> (0) [{{0, 0}, {15, 15}}]
